Unnamed: 0,availableSizes,brand.id,brand.name,gender,hasSimilarProducts,id,images.cutOut,images.model,isCustomizable,merchandiseLabel,merchandiseLabelField,merchantId,priceInfo.currencyCode,priceInfo.discountLabel,priceInfo.finalPrice,priceInfo.formattedFinalPrice,priceInfo.formattedInitialPrice,priceInfo.initialPrice,priceInfo.installmentsLabel,priceInfo.isOnSale,shortDescription,stockTotal
0,"[{'scaleId': 0, 'size': 'XS'}]",6,Paul Smith,women,True,13884060,https://cdn-images.farfetch-contents.com/13/88/40/60/13884060_17660140_300.jpg,https://cdn-images.farfetch-contents.com/13/88/40/60/13884060_17660143_300.jpg,False,,NoTag,10188,SGD,50% Off,478,$478,$955,955,,True,Paul's Photo print midi dress,1
133,"[{'scaleId': 0, 'size': 'M'}, {'scaleId': 0, 'size': 'L'}]",38206,Mara Hoffman,women,True,13630929,https://cdn-images.farfetch-contents.com/13/63/09/29/13630929_16369799_300.jpg,https://cdn-images.farfetch-contents.com/13/63/09/29/13630929_16369805_300.jpg,False,Positively Conscious,NoTag,9444,SGD,,629,$629,$629,629,,False,striped maxi dress,3
26,"[{'scaleId': 0, 'size': 'M'}, {'scaleId': 0, 'size': 'L'}]",5502,Stella McCartney,women,True,13592474,https://cdn-images.farfetch-contents.com/13/59/24/74/13592474_16247394_300.jpg,https://cdn-images.farfetch-contents.com/13/59/24/74/13592474_16247402_300.jpg,False,Positively Conscious,NoTag,9158,SGD,50% Off,948,$948,"$1,895",1895,,True,monogram zipped track jacket,3
144,,120739,Jimmy Choo,women,True,14214212,https://cdn-images.farfetch-contents.com/14/21/42/12/14214212_20133566_300.jpg,https://cdn-images.farfetch-contents.com/14/21/42/12/14214212_20133568_300.jpg,False,New Season,NewSeason,11390,SGD,,895,$895,$895,895,,False,Love 85 pumps,140
47,"[{'scaleId': 0, 'size': 'One Size'}]",825159,Andrea Fohrman,women,False,13472532,https://cdn-images.farfetch-contents.com/13/47/25/32/13472532_15764796_300.jpg,https://cdn-images.farfetch-contents.com/13/47/25/32/13472532_15764800_300.jpg,False,,NoTag,9512,SGD,,9828,"$9,828","$9,828",9828,,False,"18kt yellow gold, rock crystal and grey sapphire drop earrings",1
67,"[{'scaleId': 0, 'size': 'XS'}, {'scaleId': 0, 'size': 'M'}, {'scaleId': 0, 'size': 'XL'}]",842573,Talbot Runhof,women,True,13254961,https://cdn-images.farfetch-contents.com/13/25/49/61/13254961_14702962_300.jpg,https://cdn-images.farfetch-contents.com/13/25/49/61/13254961_14702975_300.jpg,False,,NoTag,10582,SGD,,4854,"$4,854","$4,854",4854,,False,floral embellished long dress,3
135,"[{'scaleId': 0, 'size': 'S'}, {'scaleId': 0, 'size': 'M'}]",77463,Dusan,women,True,13819532,https://cdn-images.farfetch-contents.com/13/81/95/32/13819532_17451424_300.jpg,https://cdn-images.farfetch-contents.com/13/81/95/32/13819532_17451442_300.jpg,False,,NoTag,9638,SGD,30% Off,1240,"$1,240","$1,772",1772,,True,front button coat,2
83,"[{'scaleId': 0, 'size': 'XXS'}, {'scaleId': 0, 'size': 'XS'}, {'scaleId': 0, 'size': 'S'}, {'scaleId': 0, 'size': 'M'}, {'scaleId': 0, 'size': 'L'}]",2638322,Mira Mikati,women,True,13919087,https://cdn-images.farfetch-contents.com/13/91/90/87/13919087_20003968_300.jpg,https://cdn-images.farfetch-contents.com/13/91/90/87/13919087_20003979_300.jpg,False,New Season,NewSeason,9359,SGD,,247,$247,$247,247,,False,Just Chilling T-shirt,49
41,"[{'scaleId': 0, 'size': 'One Size'}]",3440,Dolce & Gabbana,women,False,12543581,https://cdn-images.farfetch-contents.com/12/54/35/81/12543581_13647148_300.jpg,https://cdn-images.farfetch-contents.com/12/54/35/81/12543581_13647150_300.jpg,False,,NoTag,9736,SGD,,247,$247,$247,247,,False,printed iPhone 6/7 Plus case,1
175,"[{'scaleId': 0, 'size': 'M'}]",25354,Gucci,women,True,12952115,https://cdn-images.farfetch-contents.com/12/95/21/15/12952115_13606449_300.jpg,https://cdn-images.farfetch-contents.com/12/95/21/15/12952115_13606459_300.jpg,False,,NoTag,9772,SGD,,2650,"$2,650","$2,650",2650,,False,sequin stripes track trousers,1
61,"[{'scaleId': 0, 'size': 'XS'}]",4224,Marni,women,True,11282067,https://cdn-images.farfetch-contents.com/11/28/20/67/11282067_6133061_300.jpg,https://cdn-images.farfetch-contents.com/11/28/20/67/11282067_6133062_300.jpg,False,,NoTag,10050,SGD,,2038,"$2,038","$2,038",2038,,False,Melodia Flower print dress ,1
156,"[{'scaleId': 0, 'size': 'XS'}, {'scaleId': 0, 'size': 'S'}, {'scaleId': 0, 'size': 'M'}, {'scaleId': 0, 'size': 'L'}]",25370,Diane von Furstenberg,women,True,13569411,https://cdn-images.farfetch-contents.com/13/56/94/11/13569411_16241836_300.jpg,https://cdn-images.farfetch-contents.com/13/56/94/11/13569411_16241841_300.jpg,False,,NoTag,9462,SGD,50% Off,186,$186,$372,372,,True,cut-out detail jumper,9
171,"[{'scaleId': 0, 'size': 'One Size'}]",2178713,Sener Besim,unisex,False,12079203,https://cdn-images.farfetch-contents.com/12/07/92/03/12079203_9800507_300.jpg,https://cdn-images.farfetch-contents.com/12/07/92/03/12079203_9800515_300.jpg,False,,NoTag,9766,SGD,,2857,"$2,857","$2,857",2857,,False,S3 Modern aviator sunglasses,2
92,"[{'scaleId': 0, 'size': 'XS'}, {'scaleId': 0, 'size': 'S'}, {'scaleId': 0, 'size': 'M'}]",330188,Fabiana Filippi,women,True,13144605,https://cdn-images.farfetch-contents.com/13/14/46/05/13144605_14803975_300.jpg,https://cdn-images.farfetch-contents.com/13/14/46/05/13144605_14803981_300.jpg,False,,NoTag,10147,SGD,35% Off,593,$593,$912,912,,True,side stripe straight trousers ,5
4,"[{'scaleId': 0, 'size': 'One Size'}]",3344622,Zac Zac Posen,women,True,14099012,https://cdn-images.farfetch-contents.com/14/09/90/12/14099012_18733199_300.jpg,https://cdn-images.farfetch-contents.com/14/09/90/12/14099012_18733201_300.jpg,False,New Season,NewSeason,10143,SGD,,615,$615,$615,615,,False,Floral Bouquet Shopper bag,147
76,"[{'scaleId': 0, 'size': 'One Size'}]",18286,Tory Burch,women,True,14208234,https://cdn-images.farfetch-contents.com/14/20/82/34/14208234_20108305_300.jpg,https://cdn-images.farfetch-contents.com/14/20/82/34/14208234_20108308_300.jpg,False,New Season,NewSeason,9475,SGD,,853,$853,$853,853,,False,Kira shoulder bag,20
20,"[{'scaleId': 0, 'size': 'One Size'}]",2049709,Mansur Gavriel,women,True,13254287,https://cdn-images.farfetch-contents.com/13/25/42/87/13254287_14872963_300.jpg,https://cdn-images.farfetch-contents.com/13/25/42/87/13254287_14872972_300.jpg,False,Seasonal Pick,NoTag,10167,SGD,,1096,"$1,096","$1,096",1096,,False,Circle crossbody bag,44
136,"[{'scaleId': 0, 'size': 'One Size'}]",4117,Sonia Rykiel,women,False,13199217,https://cdn-images.farfetch-contents.com/13/19/92/17/13199217_14473457_300.jpg,https://cdn-images.farfetch-contents.com/13/19/92/17/13199217_14473458_300.jpg,False,,NoTag,11116,SGD,50% Off,207,$207,$413,413,,True,clip-on crystal earring,15
60,"[{'scaleId': 0, 'size': 'XXS'}, {'scaleId': 0, 'size': 'XS'}, {'scaleId': 0, 'size': 'S'}, {'scaleId': 0, 'size': 'L'}]",211274,Manning Cartell,women,True,13361481,https://cdn-images.farfetch-contents.com/13/36/14/81/13361481_15302594_300.jpg,https://cdn-images.farfetch-contents.com/13/36/14/81/13361481_15302595_300.jpg,False,Positively Conscious,NoTag,9951,SGD,,864,$864,$864,864,,False,printed double breasted blazer a,7
118,"[{'scaleId': 0, 'size': 'S'}, {'scaleId': 0, 'size': 'M'}]",90739,Brunello Cucinelli,women,False,14119886,https://cdn-images.farfetch-contents.com/14/11/98/86/14119886_18802177_300.jpg,https://cdn-images.farfetch-contents.com/14/11/98/86/14119886_18802182_300.jpg,False,New Season,NewSeason,10217,SGD,,1790,"$1,790","$1,790",1790,,False,double-band waist belt,2
137,"[{'scaleId': 0, 'size': 'XXS'}, {'scaleId': 0, 'size': 'XS'}, {'scaleId': 0, 'size': 'S'}]",6523816,Richard Quinn,women,True,14259256,https://cdn-images.farfetch-contents.com/14/25/92/56/14259256_20337852_300.jpg,https://cdn-images.farfetch-contents.com/14/25/92/56/14259256_20337860_300.jpg,False,New Season,NewSeason,9728,SGD,,154,$154,$154,154,,False,floral tights,4
